3
00002343134,    ;
00002419732,    ;
00002351644,    ;
00002368837,    ;
00002349897,    ;
00002392514,    ;
00002354677,    ;
00002408975,    ;
00002420280,    ;
00002385245,    ;
00002466940,    ;
00002488763,    ;
00002412007,    ;
00002446696,    ;
00002391115,    ;
00002352777,    ;
00002341875,    ;
00002325229,    ;
00002412673,    ;
00002382561,    ;
00002410528,    ;
00002441915,    ;
00002335375,    ;
00002450942,    ;
00002445958,    ;
00002333182,    ;
00002440773,    ;
00002379595,    ;
00002300647,    ;
00002322333,    ;
00002383798,    ;
00002428927,    ;
00002430454,    ;
00002303601,    ;
00002358761,    ;
00002339928,    ;
00002378859,    ;
00002329586,    ;
00002457645,    ;
00002388108,    ;
00002400903,    ;
00002370815,    ;
00002434025,    ;
00002460567,    ;
00002362130,    ;
00002438247,    ;
00002400244,    ;
00002375432,    ;
00002394455,    ;
00002422532,    ;
00002392997,    ;
00002320185,    ;
00002402312,    ;
00002405789,    ;
00002377961,    ;
00002418935,    ;
00002350721,    ;
00002409388,    ;
00002380664,    ;
00002379087,    ;
00002376590,    ;
00002472300,    ;
00002438149,    ;
00002428838,    ;
00002398021,    ;
00002363632,    ;
00002506851,    ;
00002485187,    ;
00002250526,    ;
00002442780,    ;
00002393706,    ;
00002320824,    ;
00002418522,    ;
00002370173,    ;
00002444702,    ;
00002378620,    ;
00002331033,    ;
00002351894,    ;
00002322486,    ;
00002405884,    ;
00002367985,    ;
00002397976,    ;
00002326219,    ;
00002377868,    ;
00002400386,    ;
00002461566,    ;
00002380475,    ;
00002367302,    ;
00002400002,    ;
00002424616,    ;
00002420352,    ;
00002412059,    ;
00002361031,    ;
00002480404,    ;
00002431394,    ;
00002437990,    ;
00002385199,    ;
00002323169,    ;
00002422195,    ;
00002432469,    ;
00002378967,    ;
00002484838,    ;
00002435905,    ;
00002475514,    ;
00002324841,    ;
00002334519,    ;
00002397752,    ;
00002379195,    ;
00002471150,    ;
00002406358,    ;
00002464606,    ;
00002445069,    ;
00002440398,    ;
00002475165,    ;
00002301553,    ;
00002400425,    ;
00002379882,    ;
00002398751,    ;
00002395519,    ;
00002439678,    ;
00002320954,    ;
00002373252,    ;
00002424380,    ;
00002404650,    ;
00002493833,    ;
00002415448,    ;
00002458982,    ;
00002368767,    ;
00002371617,    ;
00002427650,    ;
00002345541,    ;
00002384241,    ;
00002405703,    ;
00002479006,    ;
00002442990,    ;
00002346459,    ;
00002398548,    ;
00002252393,    ;
00002350242,    ;
00002432989,    ;
00002389137,    ;
00002429599,    ;
00002358369,    ;
00002452928,    ;
00002370805,    ;
00002395735,    ;
00002327477,    ;
00002392558,    ;
00002428435,    ;
00002381424,    ;
00002409758,    ;
00002417637,    ;
00002377287,    ;
00002496159,    ;
00002432797,    ;
00002375368,    ;
00002303960,    ;
00002406649,    ;
00002363851,    ;
00002348995,    ;
